question_external_id,title,url,source_label,display_order,is_free
Q-ANAT-PYQ-001,NMC-aligned note: Brachial plexus,https://medico.shishal.com/kuhs/anatomy/,Medico,1,TRUE
Q-ANAT-PYQ-003,NMC-aligned note: Larynx,https://medico.shishal.com/kuhs/anatomy/,Medico,1,TRUE
Q-ANAT-PYQ-005,NMC-aligned note: Visual pathway,https://medico.shishal.com/kuhs/anatomy/,Medico,1,TRUE
Q-ANAT-PYQ-007,NMC-aligned note: Gastrulation and notochord,https://medico.shishal.com/kuhs/anatomy/,Medico,1,TRUE
Q-ANAT-PYQ-009,NMC-aligned note: Heart and coronary arteries,https://medico.shishal.com/kuhs/anatomy/,Medico,1,TRUE
Q-ANAT-PYQ-011,NMC-aligned note: Inguinal canal and hernia,https://medico.shishal.com/kuhs/anatomy/,Medico,1,TRUE
Q-ANAT-PYQ-013,NMC-aligned note: Femoral triangle and adductor canal,https://medico.shishal.com/kuhs/anatomy/,Medico,1,TRUE
Q-PHYS-PYQ-001,NMC-aligned note: Cardiac cycle and heart sounds,https://medico.shishal.com/kuhs/physiology/,Medico,1,TRUE
Q-PHYS-PYQ-003,NMC-aligned note: Lung volumes and spirometry,https://medico.shishal.com/kuhs/physiology/,Medico,1,TRUE
Q-PHYS-PYQ-005,NMC-aligned note: GFR and clearance,https://medico.shishal.com/kuhs/physiology/,Medico,1,TRUE
Q-PHYS-PYQ-007,NMC-aligned note: Resting membrane potential and action potential,https://medico.shishal.com/kuhs/physiology/,Medico,1,TRUE
Q-PHYS-PYQ-009,NMC-aligned note: Hypothalamo-pituitary axis,https://medico.shishal.com/kuhs/physiology/,Medico,1,TRUE
Q-PHYS-PYQ-011,NMC-aligned note: Gastric secretion and motility,https://medico.shishal.com/kuhs/physiology/,Medico,1,TRUE
Q-BIOC-PYQ-001,NMC-aligned note: Glycolysis and gluconeogenesis,https://medico.shishal.com/kuhs/biochemistry/,Medico,1,TRUE
Q-BIOC-PYQ-003,NMC-aligned note: Urea cycle and hyperammonemia,https://medico.shishal.com/kuhs/biochemistry/,Medico,1,TRUE
Q-BIOC-PYQ-005,NMC-aligned note: DNA replication and repair,https://medico.shishal.com/kuhs/biochemistry/,Medico,1,TRUE
Q-BIOC-PYQ-007,NMC-aligned note: Water-soluble vitamins,https://medico.shishal.com/kuhs/biochemistry/,Medico,1,TRUE
Q-BIOC-PYQ-009,NMC-aligned note: Beta-oxidation and ketone bodies,https://medico.shishal.com/kuhs/biochemistry/,Medico,1,TRUE
Q-PATH-PYQ-001,"NMC-aligned note: Cell injury, necrosis and apoptosis",https://medico.shishal.com/kuhs/pathology/,Medico,1,TRUE
Q-PATH-PYQ-003,NMC-aligned note: Anemias and megaloblastic change,https://medico.shishal.com/kuhs/pathology/,Medico,1,TRUE
Q-PATH-PYQ-005,NMC-aligned note: Cardiovascular and renal pathology,https://medico.shishal.com/kuhs/pathology/,Medico,1,TRUE
Q-PATH-PYQ-007,NMC-aligned note: Carcinogenesis and tumour markers,https://medico.shishal.com/kuhs/pathology/,Medico,1,TRUE
Q-MICR-PYQ-001,NMC-aligned note: Gram-positive pathogens and mycobacteria,https://medico.shishal.com/kuhs/microbiology/,Medico,1,TRUE
Q-MICR-PYQ-003,NMC-aligned note: Hepatitis viruses and HIV,https://medico.shishal.com/kuhs/microbiology/,Medico,1,TRUE
Q-MICR-PYQ-005,NMC-aligned note: Malaria and leishmaniasis,https://medico.shishal.com/kuhs/microbiology/,Medico,1,TRUE
Q-MICR-PYQ-007,NMC-aligned note: Hypersensitivity and antibodies,https://medico.shishal.com/kuhs/microbiology/,Medico,1,TRUE
Q-PHAR-PYQ-001,NMC-aligned note: Cholinergic and anticholinergic drugs,https://medico.shishal.com/kuhs/pharmacology/,Medico,1,TRUE
Q-PHAR-PYQ-003,NMC-aligned note: Antihypertensives and heart-failure drugs,https://medico.shishal.com/kuhs/pharmacology/,Medico,1,TRUE
Q-PHAR-PYQ-005,"NMC-aligned note: Beta-lactams, vancomycin and anti-TB drugs",https://medico.shishal.com/kuhs/pharmacology/,Medico,1,TRUE
Q-PHAR-PYQ-007,NMC-aligned note: Antiepileptics and benzodiazepines,https://medico.shishal.com/kuhs/pharmacology/,Medico,1,TRUE
Q-FMT-PYQ-001,NMC-aligned note: Early signs of death and rigor mortis,https://medico.shishal.com/kuhs/forensic-medicine/,Medico,1,TRUE
Q-FMT-PYQ-003,"NMC-aligned note: Corrosives, pesticides and plant poisons",https://medico.shishal.com/kuhs/forensic-medicine/,Medico,1,TRUE
Q-FMT-PYQ-005,"NMC-aligned note: Consent, negligence and inquest",https://medico.shishal.com/kuhs/forensic-medicine/,Medico,1,TRUE
Q-PSM-PYQ-001,NMC-aligned note: Measures of disease frequency and study designs,https://medico.shishal.com/kuhs/community-medicine/,Medico,1,TRUE
Q-PSM-PYQ-003,"NMC-aligned note: Normal distribution, p-value and tests of significance",https://medico.shishal.com/kuhs/community-medicine/,Medico,1,TRUE
